src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.150.233,142.250.204.67,52738,443,17,2022-07-05 15:08:35,2818138.837814331,4405.389767676856,7.451726550238741,4.967817700159161,2.4839088500795805,14,7,7571,4844,1292.0,75.0,540.7857142857143,561.3076796414689,1292.0,67.0,692.0,551.5663410428782,1292,67,591.1904761904761,562.613511852338,316533.9637188209,112,56,8,14,140906.94189071655,1096199.9893188477,205.99365234375,257820.78933721883,2818138.837814331,1096199.9893188477,288.0096435546875,216779.9106011024,293314.3366428673,703491.9261932373,265133.1424713135,1078.8440704345703,117248.65436553955,99768.1601358019,0,0,0,0,1,0,0,0,0,0,0,0.5,591.1904761904761,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5077.0,5.0,0.0,0.0,5222.1500597269605,0.0,540.7857142857143,692.0,0,14,7,7571,4844
10.0.150.233,27.0.12.186,62940,53,17,2022-07-05 15:08:35,3148254.156112671,126.41927248066698,0.9529090890502535,0.6352727260335024,0.3176363630167512,2,1,178,220,89.0,89.0,89.0,0.0,220.0,220.0,220.0,0.0,220,89,132.66666666666666,61.753992223625154,3813.555555555556,16,8,8,2,1574127.0780563354,3057245.969772339,91008.18634033203,1483118.8917160034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,132.66666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,220.0,0,2,1,178,220
10.0.150.233,10.0.0.1,62940,53,17,2022-07-05 15:08:35,3013386.9647979736,59.06974513375638,0.6637050015028806,0.6637050015028806,0.0,2,0,178,0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89,89,89.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0,2,0,178,0
10.0.150.233,27.0.12.186,53922,53,17,2022-07-05 15:08:35,3156422.8534698486,76.35225417756345,0.9504429980609558,0.6336286653739706,0.3168143326869853,2,1,150,91,75.0,75.0,75.0,0.0,91.0,91.0,91.0,0.0,91,75,80.33333333333333,7.542472332656507,56.88888888888889,16,8,8,2,1578211.4267349243,3050999.879837036,105422.9736328125,1472788.4531021118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,80.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,91.0,0,2,1,150,91
10.0.150.233,10.0.0.1,53922,53,17,2022-07-05 15:08:35,3009287.118911743,49.84569237588898,0.6646092316785198,0.6646092316785198,0.0,2,0,150,0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,75,75,75.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,2,0,150,0
10.0.150.233,115.79.44.190,62940,53,17,2022-07-05 15:08:36,2127289.056777954,187.09258092213423,1.4102455848402078,0.9401637232268052,0.4700818616134026,2,1,178,220,89.0,89.0,89.0,0.0,220.0,220.0,220.0,0.0,220,89,132.66666666666666,61.753992223625154,3813.555555555556,16,8,8,2,1063644.528388977,2006367.9218292236,120921.13494873047,942723.3934402466,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,132.66666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,220.0,0,2,1,178,220
10.0.150.233,115.79.44.190,53922,53,17,2022-07-05 15:08:36,2108611.822128296,114.29320345778497,1.4227369725035472,0.9484913150023648,0.4742456575011824,2,1,150,91,75.0,75.0,75.0,0.0,91.0,91.0,91.0,0.0,91,75,80.33333333333333,7.542472332656507,56.88888888888889,16,8,8,2,1054305.911064148,2003319.9787139893,105291.84341430664,949014.0676498413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,80.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,91.0,0,2,1,150,91
10.0.150.233,27.0.12.186,51296,53,17,2022-07-05 15:08:38,0.0,0,0,0,0,1,0,85,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,1,0,85,0
10.0.150.233,115.79.44.190,51296,53,17,2022-07-05 15:08:38,90950.01220703125,2363.9359114168274,21.990101501551884,10.995050750775942,10.995050750775942,1,1,85,130,85.0,85.0,85.0,0.0,130.0,130.0,130.0,0.0,130,85,107.5,22.5,506.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,107.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,130.0,0,1,1,85,130
10.0.150.233,27.0.12.186,56668,53,17,2022-07-05 15:08:38,75111.86599731445,2436.366046431904,26.626951327124637,13.313475663562318,13.313475663562318,1,1,73,110,73.0,73.0,73.0,0.0,110.0,110.0,110.0,0.0,110,73,91.5,18.5,342.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,91.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,110.0,0,1,1,73,110
